rank,title,author,weeks_on_list
4,"VAMPIRE KNIGHT, VOL. 1",Matsuri Hino,2
5,"MAXIMUM RIDE, VOL. 1",James Patterson and NaRae Lee,7
1,DEAR JOHN,Nicholas Sparks,9
2,THE LOVELY BONES,Alice Sebold,16
3,THE DEVIL’S PUNCHBOWL,Greg Iles,4
4,PLUM SPOOKY,Janet Evanovich,4
5,THE TRUTH ABOUT LORD STONEVILLE,Sabrina Jeffries,1
1,FOOD RULES,"Michael Pollan,",4
2,THE BELLY FAT CURE,Jorge Cruise,1
3,"COOK THIS, NOT THAT!",David Zinczenko and Matt Goulding,1
4,WOMEN AND MONEY,Suze Orman,3
5,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,444
1,THE BOOK THIEF,Markus Zusak,124
2,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike,3
3,L.A. CANDY,Lauren Conrad,3
4,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,53
5,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie,42
1,"THE WALKING DEAD, VOL. 11",Robert Kirkman and Charlie Adlard,3
2,"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman,3
3,SERENITY: BETTER DAYS,Joss Whedon and others,1
4,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks,16
5,WATCHMEN,Alan Moore and Dave Gibbons,48
1,THE BLIND SIDE,Michael Lewis,17
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,156
3,THE GLASS CASTLE,Jeannette Walls,162
4,"EAT, PRAY, LOVE",Elizabeth Gilbert,155
5,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,4
1,THE LION AND THE MOUSE,Jerry Pinkney,12
2,ALL THE WORLD,Liz Garton Scanlon,1
3,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth,45
4,BUBBLE TROUBLE,Margaret Mahy,1
5,THE CURIOUS GARDEN,Peter Brown,20
1,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,133
2,THE TWILIGHT SAGA,Stephenie Meyer,129
3,DIARY OF A WIMPY KID,Jeff Kinney,54
4,HOUSE OF NIGHT,PC Cast and Kristin Cast,74
5,PRETTY LITTLE LIARS,Sara Shepard,12
1,THE LOVELY BONES,Alice Sebold,19
2,A RELIABLE WIFE,Robert Goolrick,3
3,DEAR JOHN,Nicholas Sparks,20
4,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,31
5,PUSH,Sapphire,22
1,THE HUNGER GAMES,Suzanne Collins,73
2,CATCHING FIRE,Suzanne Collins,22
3,FALLEN,Lauren Kate,8
4,PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE),Mary-Jane Knight Designed  Philip Chidlow,2
5,WHEN YOU REACH ME,Rebecca Stead,11
1,THE KIND DIET,Alicia Silverstone,5
2,THE HAPPINESS PROJECT,Gretchen Rubin,5
3,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",19
4,THE MAYO CLINIC DIET,the Mayo Clinic staff,4
5,"ACT LIKE A LADY, THINK LIKE A MAN",Steve Harvey with Denene Millner,50
1,THE HELP,Kathryn Stockett,44
2,THE LOST SYMBOL,Dan Brown,20
3,KISSER,Stuart Woods,2
4,BLOOD TIES,Kay Hooper,1
5,THE FIRST RULE,Robert Crais,3
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,16
2,THE STAND: AMERICAN NIGHTMARES,Roberto Aguirre-Sacasa and Mike Perkins,4
3,BATMAN: BATTLE FOR THE COWL,Tony Daniel,10
4,THE STAND: CAPTAIN TRIPS,Roberto Aguirre-Sacasa and Mike Perkins,3
5,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,10
1,GAME CHANGE,John Heilemann and Mark Halperin,3
2,I AM OZZY,Ozzy Osbourne with Chris Ayres,1
3,THE POLITICIAN,Andrew Young,1
4,COMMITTED,Elizabeth Gilbert,4
5,HAVE A LITTLE FAITH,Mitch Albom,18
1,"BLACK BUTLER, VOL. 1",Yana Toboso,1
2,"TSUBASA: RESERVOIR CHRONICLE, VOL. 25",Clamp,1
3,"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa,3
4,"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi,3
5,"SHUGO CHARA!, VOL. 8",Peach-Pit,1
1,DEAR JOHN,Nicholas Sparks,10
2,HOT ROCKS,Nora Roberts,1
