title,author
THE FIVE LOVE LANGUAGES,Gary Chapman
"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa
"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi
"SHUGO CHARA!, VOL. 8",Peach-Pit
DEAR JOHN,Nicholas Sparks
HOT ROCKS,Nora Roberts
THE LOVELY BONES,Alice Sebold
THE ELUSIVE BRIDE,Stephanie Laurens
TATE,Linda Lael Miller
FOOD RULES,"Michael Pollan,"
THE BELLY FAT CURE,Jorge Cruise
"COOK THIS, NOT THAT!",David Zinczenko and Matt Goulding
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
THE FIVE LOVE LANGUAGES,Gary Chapman
THE BOOK THIEF,Markus Zusak
L.A. CANDY,Lauren Conrad
"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie
"THE WALKING DEAD, VOL. 11",Robert Kirkman and Charlie Adlard
WATCHMEN,Alan Moore and Dave Gibbons
"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman
"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore
THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks
THE BLIND SIDE,Michael Lewis
THE LOST CITY OF Z,David Grann
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT,Howard Zinn
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler
THE LION AND THE MOUSE,Jerry Pinkney
I AM GOING!,Mo Willems
ALL THE WORLD,Liz Garton Scanlon
AMELIA BEDELIA'S FIRST VALENTINE,Herman Parish
WADDLE!,Rufus Butler Seder
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
THE TWILIGHT SAGA,Stephenie Meyer
DIARY OF A WIMPY KID,Jeff Kinney
HOUSE OF NIGHT,PC Cast and Kristin Cast
MAGIC TREE HOUSE,Mary Pope Osborne
A RELIABLE WIFE,Robert Goolrick
THE LOVELY BONES,Alice Sebold
DEAR JOHN,Nicholas Sparks
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
THE LAST SONG,Nicholas Sparks
