title,author
HARRY POTTER COLORING BOOK,various illustrators
DOCTOR WHO COLORING BOOK,"illlustrated  James Newman Gray, Lee Teng Chew and Jan Smith"
LOST OCEAN,Johanna Basford
ENCHANTED FOREST,Johanna Basford
STRESS RELIEVING ANIMAL DESIGNS,the editors of Blue Star Books
THE GANGSTER,Clive Cussler and Justin Scott
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr
THE GIRL ON THE TRAIN,Paula Hawkins
THE NIGHTINGALE,Kristin Hannah
A GIRL'S GUIDE TO MOVING ON,Debbie Macomber
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
"DC COMICS: SECRET HERO SOCIETY, VOL. 1",Derek Fridolfs and Dustin Nguyen
PLANTS VS. ZOMBIES: GARDEN WARFARE,Paul Tobin and Jacob Chabot
STAR WARS: THE ORIGINAL TRILOGY,the staff of the Lucas Film Book Group
KILLING AND DYING,Adrian Tomine
WHEN BREATH BECOMES AIR,Paul Kalanithi
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
DARK MONEY,Jane Mayer
PLAYING TO THE EDGE,Michael V Hayden
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
13 HOURS,Mitchell Zuckoff with members of the Annex Security Team
DARK MONEY,Jane Mayer
KILLING REAGAN,Bill O'Reilly and Martin Dugard
AND THEN ALL HELL BROKE LOOSE,Richard Engel
WHEN BREATH BECOMES AIR,Paul Kalanithi
PRETTY HAPPY,Kate Hudson
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
BEING MORTAL,Atul Gawande
"EAT FAT, GET THIN",Mark Hyman
BOSSYPANTS,Tina Fey
GRACE AND STYLE,Grace Helbig
GO THE -- TO SLEEP,Adam Mansbach
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg
YES PLEASE,Amy Poehler
"ONE-PUNCH MAN, VOL. 5",ONE and Yusuke Murata
"YU-GI-OH! ZEXAL, VOL. 8",Shin Yoshida and Naohito Miyoshi
"BLEACH, VOL. 66",Tite Kubo
"TOKYO GHOUL, VOL. 5",Sui Ishida
"IS IT WRONG TO TRY TO PICK UP GIRLS IN A DUNGEON?, VOL. 4",Fujino Omori and Kunieda
MEMORY MAN,David Baldacci
THE LIAR,Nora Roberts
COUNTRY,Danielle Steel
REVENGE,Lisa Jackson
THE STRANGER,Harlan Coben
"AMULET, VOL. 7",Kazu Kibuishi
THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE,Ann M Martin and Raina Telgemeier
DRAMA,Raina Telgemeier
"THE WALKING DEAD COMPENDIUM, VOL. 3",Robert Kirkman and Charlie Adlard
"DEADPOOL BY DANIEL WAY, VOL. 1",Daniel Way and others
ALEXANDER HAMILTON,Ron Chernow
THE BOYS IN THE BOAT,Daniel James Brown
I AM MALALA,Malala Yousafzai with Christina Lamb
THE BIG SHORT,Michael Lewis
THE DEVIL IN THE WHITE CITY,Erik Larson
WHAT PET SHOULD I GET?,Dr Seuss
THE BOOK WITH NO PICTURES,BJ Novak
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
DRAGONS LOVE TACOS,Adam Rubin
THE DAY THE CRAYONS QUIT,Drew Daywalt
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
THE RUN OF HIS LIFE,Jeffrey Toobin
THE NEW JIM CROW,Michelle Alexander
JUST MERCY,Bryan Stevenson
UNITED,Cory Booker
THE FIVE LOVE LANGUAGES,Gary Chapman
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
DARING GREATLY,Brené Brown
UNTANGLED,Lisa Damour
LEONARD,William Shatner with David Fisher
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
THE FOUR AGREEMENTS,Don Miguel Ruiz
FERVENT,Priscilla Shirer
URBAN MONK,Pedram Shojai
HARRY POTTER,JK Rowling
DIARY OF A WIMPY KID,Jeff Kinney
BIG NATE,Lincoln Peirce
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs
RECKONERS,Brandon Sanderson
ME BEFORE YOU,Jojo Moyes
BROOKLYN,Colm Toibin
THE REVENANT,Michael Punke
ROOM,Emma Donoghue
THE MARTIAN,Andy Weir
THE ROAD TO LITTLE DRIBBLING,Bill Bryson
IN OTHER WORDS,Jhumpa Lahiri
WEST OF EDEN,Jean Stein
NOTES FROM A SMALL ISLAND,Bill Bryson
KNITLANDIA,Clara Parkes
GLASS SWORD,Victoria Aveyard
RED QUEEN,Victoria Aveyard
SALT TO THE SEA,Ruta Sepetys
THE SIREN,Kiera Cass
THE AMAZING BOOK IS NOT ON FIRE,Dan Howell and Phil Lester
H IS FOR HAWK,Helen Macdonald
101 DOG TRICKS,Kyra Sundance and Chalcy
WHAT THE DOG KNOWS,Cat Warren
INSIDE OF A DOG,Alexandra Horowitz
RESCUE ROAD,Peter Zheutlin
TURNING THE TABLES,Teresa Giudice
LEONARD,William Shatner with David Fisher
BOSSYPANTS,Tina Fey
STRONG LOOKS BETTER NAKED,Khloe Kardashian
YES PLEASE,Amy Poehler
WONDER,RJ Palacio
PAX,Sara Pennypacker
THE SWORD OF SUMMER,Rick Riordan
THE CROSSOVER,Kwame Alexander
THE TERRIBLE TWO GET WORSE,Mac Barnett and Jory John
FIRE TOUCHED,Patricia Briggs
OFF THE GRID,C J Box
THE STEEL KISS,Jeffery Deaver
ME BEFORE YOU,Jojo Moyes
THE NIGHTINGALE,Kristin Hannah
WHEN BREATH BECOMES AIR,Paul Kalanithi
MIRACLES FROM HEAVEN,Christy Beam
DARK MONEY,Jane Mayer
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
SMARTER FASTER BETTER,Charles Duhigg
TURNING THE TABLES,Teresa Giudice
CONVICTION,Juan Martinez
THE DEVIL IN THE WHITE CITY,Erik Larson
THE RUN OF HIS LIFE,Jeffrey Toobin
JUST MERCY,Bryan Stevenson
IN OTHER WORDS,Jhumpa Lahiri
WEST OF EDEN,Jean Stein
DOWNTON ABBEY: A CELEBRATION,Jessica Fellowes
ANDY WARHOL WAS A HOARDER,Claudia Kalb
THE SILK ROADS,Peter Frankopan
FIRE TOUCHED,Patricia Briggs
THE STEEL KISS,Jeffery Deaver
OFF THE GRID,C J Box
ROCK WITH WINGS,Anne Hillerman
THE DROP,Michael Connelly
WHEN BREATH BECOMES AIR,Paul Kalanithi
MIRACLES FROM HEAVEN,Christy Beam
ROSEMARY,Kate Clifford Larson
A DETAIL OF HISTORY,Arek Hersh
TIBETAN PEACH PIE,Tom Robbins
I AM MALALA,Malala Yousafzai with Christina Lamb
IN OTHER WORDS,Jhumpa Lahiri
THING EXPLAINER,Randall Munroe
THE COLLAPSE OF PARENTING,Leonard Sax
THE IMPORTANCE OF BEING LITTLE,Erika Christakis
PLAYING TO THE EDGE,Michael V Hayden
100 DEADLY SKILLS,Clint Emerson
THE MAN WHO BROKE NAPOLEON'S CODES,Mark Urban
ZERO FOOTPRINT,Simon Chase and Ralph Pezzullo
BLACK MASS,Dick Lehr and Gerald O'Neill
THE WRIGHT BROTHERS,David McCullough
DEAD WAKE,Erik Larson
THE FINEST HOURS,Michael J Tougias and Casey Sherman
IN THE HEART OF THE SEA,Nathaniel Philbrick
INTO THE WILD,Jon Krakauer
A MOTHER'S RECKONING,Sue Klebold
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
UNTANGLED,Lisa Damour
GO THE -- TO SLEEP,Adam Mansbach
THE COLLAPSE OF PARENTING,Leonard Sax
PRETTY HAPPY,Kate Hudson
GRACE AND STYLE,Grace Helbig
STRONG LOOKS BETTER NAKED,Khloe Kardashian
EMPIRE OF COTTON,Sven Beckert
TIMELESS BEAUTY,Christie Brinkley
CRAVINGS,Chrissy Teigen with Adeena Sussman
THE WHOLE30,Melissa Hartwig and Dallas Hartwig
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
"EAT FAT, GET THIN",Mark Hyman
ALWAYS HUNGRY?,David Ludwig
HARRY POTTER COLORING BOOK,various illustrators
DOCTOR WHO COLORING BOOK,"illlustrated  James Newman Gray, Lee Teng Chew and Jan Smith"
LOST OCEAN,Johanna Basford
ENCHANTED FOREST,Johanna Basford
STRESS RELIEVING ANIMAL DESIGNS,the editors of Blue Star Books
OFF THE GRID,C J Box
FIRE TOUCHED,Patricia Briggs
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr
THE GIRL ON THE TRAIN,Paula Hawkins
THE NIGHTINGALE,Kristin Hannah
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
"DC COMICS: SECRET HERO SOCIETY, VOL. 1",Derek Fridolfs and Dustin Nguyen
STAR WARS: THE ORIGINAL TRILOGY,the staff of the Lucas Film Book Group
PATIENCE,Daniel Clowes
THE SANDMAN,Neil Gaiman and Dirk Maggs
WHEN BREATH BECOMES AIR,Paul Kalanithi
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
DARK MONEY,Jane Mayer
THE IMMORTAL IRISHMAN,Timothy Egan
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
13 HOURS,Mitchell Zuckoff with members of the Annex Security Team
DARK MONEY,Jane Mayer
KILLING REAGAN,Bill O'Reilly and Martin Dugard
AND THEN ALL HELL BROKE LOOSE,Richard Engel
WHEN BREATH BECOMES AIR,Paul Kalanithi
PRETTY HAPPY,Kate Hudson
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
BEING MORTAL,Atul Gawande
"EAT FAT, GET THIN",Mark Hyman
BOSSYPANTS,Tina Fey
GRACE AND STYLE,Grace Helbig
GO THE -- TO SLEEP,Adam Mansbach
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg
YES PLEASE,Amy Poehler
"YU-GI-OH! ZEXAL, VOL. 8",Shin Yoshida and Naohito Miyoshi
"ONE-PUNCH MAN, VOL. 5",ONE and Yusuke Murata
"ONE-PUNCH MAN, VOL. 1",ONE and Yusuke Murata
"TOKYO GHOUL, VOL. 5",Sui Ishida
"TOKYO GHOUL, VOL. 1",Sui Ishida
THE LIAR,Nora Roberts
MEMORY MAN,David Baldacci
COUNTRY,Danielle Steel
REVENGE,Lisa Jackson
THE STRANGER,Harlan Coben
"AMULET, VOL. 7",Kazu Kibuishi
DRAMA,Raina Telgemeier
THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA,Ann M Martin and Raina Telgemeier
SMILE,Raina Telgemeier
THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE,Ann M Martin and Raina Telgemeier
ALEXANDER HAMILTON,Ron Chernow
I AM MALALA,Malala Yousafzai with Christina Lamb
THE BOYS IN THE BOAT,Daniel James Brown
H IS FOR HAWK,Helen Macdonald
MIRACLES FROM HEAVEN,Christy Beam
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
HOW TO CATCH A LEPRECHAUN,Adam Wallace
THE BOOK WITH NO PICTURES,BJ Novak
DRAGONS LOVE TACOS,Adam Rubin
THE DAY THE CRAYONS QUIT,Drew Daywalt
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
THE RUN OF HIS LIFE,Jeffrey Toobin
THE NEW JIM CROW,Michelle Alexander
JUST MERCY,Bryan Stevenson
UNITED,Cory Booker
THE FIVE LOVE LANGUAGES,Gary Chapman
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
DARING GREATLY,Brené Brown
UNTANGLED,Lisa Damour
LEONARD,William Shatner with David Fisher
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
THE FOUR AGREEMENTS,Don Miguel Ruiz
FERVENT,Priscilla Shirer
URBAN MONK,Pedram Shojai
DIARY OF A WIMPY KID,Jeff Kinney
HARRY POTTER,JK Rowling
BIG NATE,Lincoln Peirce
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs
I SURVIVED,Lauren Tarshis
ME BEFORE YOU,Jojo Moyes
BROOKLYN,Colm Toibin
ROOM,Emma Donoghue
THE REVENANT,Michael Punke
MY BRILLIANT FRIEND,Elena Ferrante
THE ROAD TO LITTLE DRIBBLING,Bill Bryson
IN OTHER WORDS,Jhumpa Lahiri
WEST OF EDEN,Jean Stein
NOTES FROM A SMALL ISLAND,Bill Bryson
KNITLANDIA,Clara Parkes
LADY MIDNIGHT,Cassandra Clare
GLASS SWORD,Victoria Aveyard
RED QUEEN,Victoria Aveyard
THE SIREN,Kiera Cass
SALT TO THE SEA,Ruta Sepetys
H IS FOR HAWK,Helen Macdonald
INSIDE OF A DOG,Alexandra Horowitz
WHAT THE DOG KNOWS,Cat Warren
RESCUE ROAD,Peter Zheutlin
ELEPHANT COMPANY,Vicki Constantine Croke
YES PLEASE,Amy Poehler
LEONARD,William Shatner with David Fisher
STRONG LOOKS BETTER NAKED,Khloe Kardashian
BOSSYPANTS,Tina Fey
TROUBLE BOYS,Bob Mehr
WONDER,RJ Palacio
PAX,Sara Pennypacker
THE SWORD OF SUMMER,Rick Riordan
THE GUTSY GIRL,Caroline Paul
DEMON DENTIST,David Walliams
PRIVATE PARIS,James Patterson and Mark Sullivan
PROPERTY OF A NOBLEWOMAN,Danielle Steel
DARK PROMISES,Christine Feehan
ME BEFORE YOU,Jojo Moyes
THE NIGHTINGALE,Kristin Hannah
WHEN BREATH BECOMES AIR,Paul Kalanithi
NEITHER HERE NOR THERE,Bill Bryson
DARK MONEY,Jane Mayer
MIRACLES FROM HEAVEN,Christy Beam
ALEXANDER HAMILTON,Ron Chernow
A MOTHER'S RECKONING,Sue Klebold
THE DEVIL IN THE WHITE CITY,Erik Larson
JUST MERCY,Bryan Stevenson
WRITING MY WRONGS,Shaka Senghor
THE RUN OF HIS LIFE,Jeffrey Toobin
AMERICAN GIRLS,Nancy Jo Sales
DOWNTON ABBEY: A CELEBRATION,Jessica Fellowes
AT THE EXISTENTIALIST CAFE,Sarah Bakewell
IN OTHER WORDS,Jhumpa Lahiri
THE ART OF ZOOTOPIA,Jessica Julius
PRIVATE PARIS,James Patterson and Mark Sullivan
PROPERTY OF A NOBLEWOMAN,Danielle Steel
DARK PROMISES,Christine Feehan
PLAYING THE ODDS,Nora Roberts
THE WEDDING DRESS,Rachel Hauck
NEITHER HERE NOR THERE,Bill Bryson
WHEN BREATH BECOMES AIR,Paul Kalanithi
MIRACLES FROM HEAVEN,Christy Beam
ROSEMARY,Kate Clifford Larson
NOTES FROM A SMALL ISLAND,Bill Bryson
I AM MALALA,Malala Yousafzai with Christina Lamb
THING EXPLAINER,Randall Munroe
MISSOULA,Jon Krakauer
WHERE YOU GO IS NOT WHO YOU'LL BE,Frank Bruni
IN OTHER WORDS,Jhumpa Lahiri
PLAYING TO THE EDGE,Michael V Hayden
A MAN CALLED INTREPID,William Stevenson
100 DEADLY SKILLS,Clint Emerson
THE INFORMANT,Kurt Eichenwald
DEAD WAKE,Erik Larson
THE WRIGHT BROTHERS,David McCullough
IN THE HEART OF THE SEA,Nathaniel Philbrick
INTO THE WILD,Jon Krakauer
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
A MOTHER'S RECKONING,Sue Klebold
H IS FOR HAWK,Helen Macdonald
GO THE -- TO SLEEP,Adam Mansbach
AMERICAN GIRLS,Nancy Jo Sales
PRETTY HAPPY,Kate Hudson
THE RESIDENCE,Kate Andersen Brower
STRONG LOOKS BETTER NAKED,Khloe Kardashian
GRACE AND STYLE,Grace Helbig
EMPIRE OF COTTON,Sven Beckert
CRAVINGS,Chrissy Teigen with Adeena Sussman
"EAT FAT, GET THIN",Mark Hyman
THE WHOLE30,Melissa Hartwig and Dallas Hartwig
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
"LOVE, LOSS, AND WHAT WE ATE",Padma Lakshmi
HARRY POTTER COLORING BOOK,various illustrators
DOCTOR WHO COLORING BOOK,"illlustrated  James Newman Gray, Lee Teng Chew and Jan Smith"
LOST OCEAN,Johanna Basford
ANIMORPHIA,Ker Rosanes
ENCHANTED FOREST,Johanna Basford
PRIVATE PARIS,James Patterson and Mark Sullivan
PROPERTY OF A NOBLEWOMAN,Danielle Steel
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr
THE NIGHTINGALE,Kristin Hannah
OFF THE GRID,C J Box
SECRET WARS,Jonathan Hickman and Esad Ribic
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
"JUSTICE LEAGUE, VOL. 7","Geoff Johns, Jason Fabock and Brad Anderson"
BATMAN BY NEAL ADAMS OMNIBUS,Neal Adams and Denny O'Neil
PATIENCE,Daniel Clowes
WHEN BREATH BECOMES AIR,Paul Kalanithi
DARK MONEY,Jane Mayer
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
THE IMMORTAL IRISHMAN,Timothy Egan
SMARTER FASTER BETTER,Charles Duhigg
DARK MONEY,Jane Mayer
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
THE BIG SHORT,Michael Lewis
EVICTED,Matthew Desmond
PLAYING TO THE EDGE,Michael V Hayden
WHEN BREATH BECOMES AIR,Paul Kalanithi
"EAT FAT, GET THIN",Mark Hyman
PRETTY HAPPY,Kate Hudson
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
BEING MORTAL,Atul Gawande
GO THE -- TO SLEEP,Adam Mansbach
YES PLEASE,Amy Poehler
BOSSYPANTS,Tina Fey
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg
WHY NOT ME?,Mindy Kaling
"GOODNIGHT PUNPUN, VOL. 1",Inio Asano
"ONE-PUNCH MAN, VOL. 5",ONE and Yusuke Murata
"YU-GI-OH! ZEXAL, VOL. 8",Shin Yoshida and Naohito Miyoshi
"TOKYO GHOUL, VOL. 1",Sui Ishida
"ONE-PUNCH MAN, VOL. 1",ONE and Yusuke Murata
THE LIAR,Nora Roberts
MEMORY MAN,David Baldacci
COUNTRY,Danielle Steel
REVENGE,Lisa Jackson
THE STRANGER,Harlan Coben
"AMULET, VOL. 7",Kazu Kibuishi
DRAMA,Raina Telgemeier
THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE,Ann M Martin and Raina Telgemeier
THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA,Ann M Martin and Raina Telgemeier
SMILE,Raina Telgemeier
ALEXANDER HAMILTON,Ron Chernow
H IS FOR HAWK,Helen Macdonald
THE BOYS IN THE BOAT,Daniel James Brown
MIRACLES FROM HEAVEN,Christy Beam
I AM MALALA,Malala Yousafzai with Christina Lamb
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
DRAGONS LOVE TACOS,Adam Rubin
THE BOOK WITH NO PICTURES,BJ Novak
THE DAY THE CRAYONS QUIT,Drew Daywalt
THE DAY THE CRAYONS CAME HOME,Drew Daywalt
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
JUST MERCY,Bryan Stevenson
THE NEW JIM CROW,Michelle Alexander
THE RUN OF HIS LIFE,Jeffrey Toobin
FOR WHITE FOLKS WHO TEACH IN THE HOOD... AND THE REST OF Y'ALL TOO,Christopher Emdin
THE FIVE LOVE LANGUAGES,Gary Chapman
H IS FOR HAWK,Helen Macdonald
ALL THE SINGLE LADIES,Rebecca Traister
AMERICAN GIRLS,Nancy Jo Sales
DARING GREATLY,Brené Brown
MIRACLES FROM HEAVEN,Christy Beam
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli
THE FOUR AGREEMENTS,Don Miguel Ruiz
FERVENT,Priscilla Shirer
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs
DIARY OF A WIMPY KID,Jeff Kinney
HARRY POTTER,JK Rowling
BIG NATE,Lincoln Peirce
FIVE KINGDOMS,Brandon Mull
ME BEFORE YOU,Jojo Moyes
BROOKLYN,Colm Toibin
ROOM,Emma Donoghue
MY BRILLIANT FRIEND,Elena Ferrante
THE MARTIAN,Andy Weir
NEITHER HERE NOR THERE,Bill Bryson
THE ROAD TO LITTLE DRIBBLING,Bill Bryson
NOTES FROM A SMALL ISLAND,Bill Bryson
IN OTHER WORDS,Jhumpa Lahiri
WILD,Cheryl Strayed
LADY MIDNIGHT,Cassandra Clare
RED QUEEN,Victoria Aveyard
GLASS SWORD,Victoria Aveyard
THE SIREN,Kiera Cass
SALT TO THE SEA,Ruta Sepetys
H IS FOR HAWK,Helen Macdonald
INSIDE OF A DOG,Alexandra Horowitz
WHAT THE DOG KNOWS,Cat Warren
RESCUE ROAD,Peter Zheutlin
ELEPHANT COMPANY,Vicki Constantine Croke
YES PLEASE,Amy Poehler
LEONARD,William Shatner with David Fisher
STRONG LOOKS BETTER NAKED,Khloe Kardashian
BOSSYPANTS,Tina Fey
TROUBLE BOYS,Bob Mehr
JACKY HA-HA,James Patterson and Chris Grabenstein
WONDER,RJ Palacio
THE SWORD OF SUMMER,Rick Riordan
PAX,Sara Pennypacker
MR. LEMONCELLO'S LIBRARY OLYMPICS,Chris Grabenstein
FOOL ME ONCE,Harlan Coben
PRIVATE PARIS,James Patterson and Mark Sullivan
THE NEST,Cynthia D'Aprix Sweeney
ME BEFORE YOU,Jojo Moyes
PROPERTY OF A NOBLEWOMAN,Danielle Steel
WHEN BREATH BECOMES AIR,Paul Kalanithi
MIRACLES FROM HEAVEN,Christy Beam
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli
DEAD WAKE,Erik Larson
A MOTHER'S RECKONING,Sue Klebold
THE DEVIL IN THE WHITE CITY,Erik Larson
JUST MERCY,Bryan Stevenson
WRITING MY WRONGS,Shaka Senghor
THE RUN OF HIS LIFE,Jeffrey Toobin
AMERICAN GIRLS,Nancy Jo Sales
DOWNTON ABBEY: A CELEBRATION,Jessica Fellowes
AT THE EXISTENTIALIST CAFE,Sarah Bakewell
IN OTHER WORDS,Jhumpa Lahiri
THE ART OF ZOOTOPIA,Jessica Julius
FOOL ME ONCE,Harlan Coben
THE NEST,Cynthia D'Aprix Sweeney
THE WEDDING DRESS,Rachel Hauck
PRIVATE PARIS,James Patterson and Mark Sullivan
THE WEDDING,Nicholas Sparks
MIRACLES FROM HEAVEN,Christy Beam
WHEN BREATH BECOMES AIR,Paul Kalanithi
ROSEMARY,Kate Clifford Larson
I AM MALALA,Malala Yousafzai with Christina Lamb
THING EXPLAINER,Randall Munroe
MISSOULA,Jon Krakauer
WHERE YOU GO IS NOT WHO YOU'LL BE,Frank Bruni
IN OTHER WORDS,Jhumpa Lahiri
PLAYING TO THE EDGE,Michael V Hayden
A MAN CALLED INTREPID,William Stevenson
100 DEADLY SKILLS,Clint Emerson
THE INFORMANT,Kurt Eichenwald
DEAD WAKE,Erik Larson
THE WRIGHT BROTHERS,David McCullough
IN THE HEART OF THE SEA,Nathaniel Philbrick
INTO THE WILD,Jon Krakauer
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
A MOTHER'S RECKONING,Sue Klebold
H IS FOR HAWK,Helen Macdonald
GO THE -- TO SLEEP,Adam Mansbach
AMERICAN GIRLS,Nancy Jo Sales
PRETTY HAPPY,Kate Hudson
THE RESIDENCE,Kate Andersen Brower
STRONG LOOKS BETTER NAKED,Khloe Kardashian
GRACE AND STYLE,Grace Helbig
EMPIRE OF COTTON,Sven Beckert
CRAVINGS,Chrissy Teigen with Adeena Sussman
"EAT FAT, GET THIN",Mark Hyman
THE WHOLE30,Melissa Hartwig and Dallas Hartwig
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
"LOVE, LOSS, AND WHAT WE ATE",Padma Lakshmi
HARRY POTTER COLORING BOOK,various illustrators
DOCTOR WHO COLORING BOOK,"illlustrated  James Newman Gray, Lee Teng Chew and Jan Smith"
LOST OCEAN,Johanna Basford
ANIMORPHIA,Ker Rosanes
ENCHANTED FOREST,Johanna Basford
FOOL ME ONCE,Harlan Coben
PRIVATE PARIS,James Patterson and Mark Sullivan
THE NEST,Cynthia D'Aprix Sweeney
PROPERTY OF A NOBLEWOMAN,Danielle Steel
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr
"BATMAN, VOL. 8",Scott Snyder and Greg Capullo
PATIENCE,Daniel Clowes
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
"DC COMICS: SECRET HERO SOCIETY, VOL. 1",Derek Fridolfs and Dustin Nguyen
POPTROPICA BOOK 1: MYSTERY OF THE MAP,Jack Chabert and Kory Merritt
WHEN BREATH BECOMES AIR,Paul Kalanithi
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
SMARTER FASTER BETTER,Charles Duhigg
THE IMMORTAL IRISHMAN,Timothy Egan
DARK MONEY,Jane Mayer
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
THE BIG SHORT,Michael Lewis
EVICTED,Matthew Desmond
PLAYING TO THE EDGE,Michael V Hayden
WHEN BREATH BECOMES AIR,Paul Kalanithi
"EAT FAT, GET THIN",Mark Hyman
PRETTY HAPPY,Kate Hudson
10-DAY GREEN SMOOTHIE CLEANSE,J J Smith
BEING MORTAL,Atul Gawande
GO THE -- TO SLEEP,Adam Mansbach
YES PLEASE,Amy Poehler
BOSSYPANTS,Tina Fey
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg
WHY NOT ME?,Mindy Kaling
"NO GAME NO LIFE, VOL. 4",Yuu Kamiya
"TOKYO GHOUL, VOL. 1",Sui Ishida
"GOODNIGHT PUNPUN, VOL. 1",Inio Asano
"ONE-PUNCH MAN, VOL. 1",ONE and Yusuke Murata
"SWORD ART ONLINE PROGRESSIVE, VOL. 4",Reki Kawahara and Kiseki Himura
THE LIAR,Nora Roberts
FINDERS KEEPERS,Stephen King
MEMORY MAN,David Baldacci
COUNTRY,Danielle Steel
THE STRANGER,Harlan Coben
DRAMA,Raina Telgemeier
THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA,Ann M Martin and Raina Telgemeier
"AMULET, VOL. 7",Kazu Kibuishi
THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE,Ann M Martin and Raina Telgemeier
SMILE,Raina Telgemeier
DEAD WAKE,Erik Larson
ALEXANDER HAMILTON,Ron Chernow
MIRACLES FROM HEAVEN,Christy Beam
THE BOYS IN THE BOAT,Daniel James Brown
H IS FOR HAWK,Helen Macdonald
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
DRAGONS LOVE TACOS,Adam Rubin
THE BOOK WITH NO PICTURES,BJ Novak
THE DAY THE CRAYONS QUIT,Drew Daywalt
FINDING WINNIE,Lindsay Mattick
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
JUST MERCY,Bryan Stevenson
THE NEW JIM CROW,Michelle Alexander
THE RUN OF HIS LIFE,Jeffrey Toobin
FOR WHITE FOLKS WHO TEACH IN THE HOOD... AND THE REST OF Y'ALL TOO,Christopher Emdin
THE FIVE LOVE LANGUAGES,Gary Chapman
H IS FOR HAWK,Helen Macdonald
ALL THE SINGLE LADIES,Rebecca Traister
AMERICAN GIRLS,Nancy Jo Sales
DARING GREATLY,Brené Brown
MIRACLES FROM HEAVEN,Christy Beam
PRETTY HAPPY,Kate Hudson
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli
THE FOUR AGREEMENTS,Don Miguel Ruiz
FERVENT,Priscilla Shirer
THE WAIT,DeVon Franklin and Meagan Good with Tim Vandehey
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs
DIARY OF A WIMPY KID,Jeff Kinney
